year,seven_year_MA,avg_temp
1796,,8.27
1797,,8.51
1798,,8.67
1799,,8.51
1800,,8.48
1801,,8.59
1802,8.515714286,8.58
1803,8.548571429,8.5
1804,8.595714286,8.84
1805,8.58,8.56
1806,8.568571429,8.43
1807,8.54,8.28
1808,8.402857143,7.63
1809,8.188571429,7.08
1810,7.962857143,6.92
1811,7.68,6.86
1812,7.464285714,7.05
1813,7.365714286,7.74
1814,7.267142857,7.59
1815,7.211428571,7.24
1816,7.191428571,6.94
1817,7.2,6.98
1818,7.338571429,7.83
1819,7.384285714,7.37
1820,7.367142857,7.62
1821,7.438571429,8.09
1822,7.574285714,8.19
1823,7.685714286,7.72
1824,7.91,8.55
1825,7.99,8.39
1826,8.131428571,8.36
1827,8.301428571,8.81
1828,8.312857143,8.17
1829,8.277142857,7.94
1830,8.391428571,8.52
1831,8.261428571,7.64
1832,8.127142857,7.45
1833,8.077142857,8.01
1834,7.982857143,8.15
1835,7.871428571,7.39
1836,7.837142857,7.7
1837,7.674285714,7.38
1838,7.655714286,7.51
1839,7.681428571,7.63
1840,7.651428571,7.8
1841,7.585714286,7.69
1842,7.675714286,8.02
1843,7.742857143,8.17
1844,7.781428571,7.65
1845,7.83,7.85
1846,7.961428571,8.55
1847,8.002857143,8.09
1848,8.044285714,7.98
1849,8.038571429,7.98
1850,8,7.9
1851,8.075714286,8.18
1852,8.111428571,8.1
1853,8.038571429,8.04
1854,8.055714286,8.21
1855,8.074285714,8.11
1856,8.077142857,8
1857,8.057142857,7.76
1858,8.045714286,8.1
1859,8.067142857,8.25
1860,8.055714286,7.96
1861,8.004285714,7.85
1862,7.925714286,7.56
1863,7.941428571,8.11
1864,7.972857143,7.98
1865,7.984285714,8.18
1866,7.99,8.29
1867,8.058571429,8.44
1868,8.115714286,8.25
1869,8.24,8.43
1870,8.252857143,8.2
1871,8.272857143,8.12
1872,8.274285714,8.19
1873,8.282857143,8.35
1874,8.281428571,8.43
1875,8.225714286,7.86
1876,8.175714286,8.08
1877,8.224285714,8.54
1878,8.325714286,8.83
1879,8.322857143,8.17
1880,8.29,8.12
1881,8.267142857,8.27
1882,8.305714286,8.13
1883,8.291428571,7.98
1884,8.181428571,7.77
1885,8.051428571,7.92
1886,8.02,7.95
1887,7.99,7.91
1888,7.964285714,8.09
1889,7.991428571,8.32
1890,7.99,7.97
1891,8.025714286,8.02
1892,8.047142857,8.07
1893,8.062857143,8.06
1894,8.098571429,8.16
1895,8.107142857,8.15
1896,8.091428571,8.21
1897,8.137142857,8.29
1898,8.16,8.18
1899,8.207142857,8.4
1900,8.27,8.5
1901,8.324285714,8.54
1902,8.345714286,8.3
1903,8.347142857,8.22
1904,8.318571429,8.09
1905,8.325714286,8.23
1906,8.322857143,8.38
1907,8.244285714,7.95
1908,8.194285714,8.19
1909,8.177142857,8.18
1910,8.177142857,8.22
1911,8.19,8.18
1912,8.181428571,8.17
1913,8.17,8.3
1914,8.261428571,8.59
1915,8.318571429,8.59
1916,8.325714286,8.23
1917,8.297142857,8.02
1918,8.29,8.13
1919,8.32,8.38
1920,8.328571429,8.36
1921,8.325714286,8.57
1922,8.3,8.41
1923,8.327142857,8.42
1924,8.397142857,8.51
1925,8.454285714,8.53
1926,8.504285714,8.73
1927,8.527142857,8.52
1928,8.535714286,8.63
1929,8.511428571,8.24
1930,8.541428571,8.63
1931,8.571428571,8.72
1932,8.597142857,8.71
1933,8.541428571,8.34
1934,8.557142857,8.63
1935,8.541428571,8.52
1936,8.585714286,8.55
1937,8.595714286,8.7
1938,8.615714286,8.86
1939,8.622857143,8.76
1940,8.682857143,8.76
1941,8.702857143,8.77
1942,8.732857143,8.73
1943,8.762857143,8.76
1944,8.784285714,8.85
1945,8.744285714,8.58
1946,8.732857143,8.68
1947,8.738571429,8.8
1948,8.735714286,8.75
1949,8.715714286,8.59
1950,8.66,8.37
1951,8.628571429,8.63
1952,8.637142857,8.64
1953,8.664285714,8.87
1954,8.63,8.56
1955,8.612857143,8.63
1956,8.568571429,8.28
1957,8.62,8.73
1958,8.64,8.77
1959,8.652857143,8.73
1960,8.611428571,8.58
1961,8.645714286,8.8
1962,8.662857143,8.75
1963,8.745714286,8.86
1964,8.7,8.41
1965,8.665714286,8.53
1966,8.647142857,8.6
1967,8.664285714,8.7
1968,8.624285714,8.52
1969,8.602857143,8.6
1970,8.58,8.7
1971,8.607142857,8.6
1972,8.602857143,8.5
1973,8.652857143,8.95
1974,8.62,8.47
1975,8.651428571,8.74
1976,8.615714286,8.35
1977,8.637142857,8.85
1978,8.65,8.69
1979,8.682857143,8.73
1980,8.687142857,8.98
1981,8.787142857,9.17
1982,8.772857143,8.64
1983,8.87,9.03
1984,8.847142857,8.69
1985,8.842857143,8.66
1986,8.857142857,8.83
1987,8.858571429,8.99
1988,8.862857143,9.2
1989,8.902857143,8.92
1990,8.931428571,9.23
1991,9.001428571,9.18
1992,9.027142857,8.84
1993,9.032857143,8.87
1994,9.04,9.04
1995,9.061428571,9.35
1996,9.078571429,9.04
1997,9.074285714,9.2
1998,9.122857143,9.52
1999,9.187142857,9.29
2000,9.234285714,9.2
2001,9.287142857,9.41
2002,9.318571429,9.57
2003,9.388571429,9.53
2004,9.405714286,9.32
2005,9.431428571,9.7
2006,9.465714286,9.53
2007,9.541428571,9.73
2008,9.544285714,9.43
2009,9.535714286,9.51
2010,9.56,9.7
2011,9.588571429,9.52
2012,9.561428571,9.51
2013,9.572857143,9.61
