year,city,country,avg_temp,seven_year_MA
1796,Hyderabad,India,26.53,
1797,Hyderabad,India,27.48,
1798,Hyderabad,India,26.2,
1799,Hyderabad,India,26.84,
1800,Hyderabad,India,26.88,
1801,Hyderabad,India,26.05,
1802,Hyderabad,India,27.44,26.77428571
1803,Hyderabad,India,27.22,26.87285714
1804,Hyderabad,India,27.65,26.89714286
1805,Hyderabad,India,27.02,27.01428571
1806,Hyderabad,India,26.89,27.02142857
1807,Hyderabad,India,26.15,26.91714286
1808,Hyderabad,India,null,27.06166667
1809,Hyderabad,India,null,26.986
1810,Hyderabad,India,null,26.9275
1811,Hyderabad,India,null,26.68666667
1812,Hyderabad,India,null,26.52
1813,Hyderabad,India,26.25,26.2
1814,Hyderabad,India,25.65,25.95
1815,Hyderabad,India,25.8,25.9
1816,Hyderabad,India,25.38,25.77
1817,Hyderabad,India,25.61,25.738
1818,Hyderabad,India,25.83,25.75333333
1819,Hyderabad,India,25.78,25.75714286
1820,Hyderabad,India,25.88,25.70428571
1821,Hyderabad,India,26.45,25.81857143
1822,Hyderabad,India,26.43,25.90857143
1823,Hyderabad,India,26.65,26.09
1824,Hyderabad,India,27.1,26.30285714
1825,Hyderabad,India,26.72,26.43
1826,Hyderabad,India,26.89,26.385
1827,Hyderabad,India,26.73,26.59
1828,Hyderabad,India,26.63,26.53
1829,Hyderabad,India,26.47,26.56
1830,Hyderabad,India,26.45,26.775
1831,Hyderabad,India,26.41,26.565
1832,Hyderabad,India,26.63,26.76
1833,Hyderabad,India,26.5,26.615
1834,Hyderabad,India,26.56,26.595
1835,Hyderabad,India,25.8,26.135
1836,Hyderabad,India,26.19,26.32
1837,Hyderabad,India,26.24,26.325
1838,Hyderabad,India,26.33,26.48
1839,Hyderabad,India,26.34,26.42
1840,Hyderabad,India,26.44,26.5
1841,Hyderabad,India,26.12,25.96
1842,Hyderabad,India,26.27,26.23
1843,Hyderabad,India,26.01,26.125
1844,Hyderabad,India,26.08,26.205
1845,Hyderabad,India,26.39,26.365
1846,Hyderabad,India,26.82,26.63
1847,Hyderabad,India,26.31,26.215
1848,Hyderabad,India,26.32,26.295
1849,Hyderabad,India,26.26,26.135
1850,Hyderabad,India,26.47,26.275
1851,Hyderabad,India,26.45,26.42
1852,Hyderabad,India,26.4,26.61
1853,Hyderabad,India,26.7,26.505
1854,Hyderabad,India,26.79,26.555
1855,Hyderabad,India,26.81,26.535
1856,Hyderabad,India,26.24,26.355
1857,Hyderabad,India,25.82,26.135
1858,Hyderabad,India,26.6,26.5
1859,Hyderabad,India,26.6,26.65
1860,Hyderabad,India,26.41,26.6
1861,Hyderabad,India,26.26,26.535
1862,Hyderabad,India,24.38,25.31
1863,Hyderabad,India,null,25.82
1864,Hyderabad,India,null,26.6
1865,Hyderabad,India,26.96,26.78
1866,Hyderabad,India,26.97,26.69
1867,Hyderabad,India,26.91,26.585
1868,Hyderabad,India,26.8,25.59
1869,Hyderabad,India,26.78,26.78
1870,Hyderabad,India,26.45,26.45
1871,Hyderabad,India,26.59,26.775
1872,Hyderabad,India,26.54,26.755
1873,Hyderabad,India,26.6,26.755
1874,Hyderabad,India,26.57,26.685
1875,Hyderabad,India,26.6,26.69
1876,Hyderabad,India,26.9,26.675
1877,Hyderabad,India,27.22,26.905
1878,Hyderabad,India,27.34,26.94
1879,Hyderabad,India,26.29,26.445
1880,Hyderabad,India,26.71,26.64
1881,Hyderabad,India,26.61,26.605
1882,Hyderabad,India,26.52,26.71
1883,Hyderabad,India,26.28,26.75
1884,Hyderabad,India,26.18,26.76
1885,Hyderabad,India,26.53,26.41
1886,Hyderabad,India,26.51,26.61
1887,Hyderabad,India,26.28,26.445
1888,Hyderabad,India,26.81,26.665
1889,Hyderabad,India,26.89,26.585
1890,Hyderabad,India,26.69,26.435
1891,Hyderabad,India,27,26.765
1892,Hyderabad,India,26.79,26.65
1893,Hyderabad,India,25.9,26.09
1894,Hyderabad,India,26.75,26.78
1895,Hyderabad,India,26.63,26.76
1896,Hyderabad,India,27.44,27.065
1897,Hyderabad,India,27.6,27.3
1898,Hyderabad,India,26.89,26.84
1899,Hyderabad,India,27.19,26.545
1900,Hyderabad,India,27.65,27.2
1901,Hyderabad,India,27.01,26.82
1902,Hyderabad,India,27.38,27.41
1903,Hyderabad,India,26.73,27.165
1904,Hyderabad,India,26.68,26.785
1905,Hyderabad,India,26.92,27.055
1906,Hyderabad,India,27.1,27.375
1907,Hyderabad,India,26.67,26.84
1908,Hyderabad,India,26.65,27.015
1909,Hyderabad,India,26.77,26.75
1910,Hyderabad,India,26.61,26.645
1911,Hyderabad,India,27.03,26.975
1912,Hyderabad,India,27.15,27.125
1913,Hyderabad,India,27.03,26.85
